app_id,name,release_date,coming_soon,price_usd,is_free,discount_pct,developer,publisher,genres,categories,tags,platforms_win,platforms_mac,platforms_linux,recommendations,positive_reviews,negative_reviews,estimated_owners,avg_playtime_forever,avg_playtime_2weeks,median_playtime,peak_ccu,required_age,dlc_count,achievements,release_year,release_month,estimated_owners_mid,is_free_clean,price_log,recommendations_scaled,avg_playtime_forever_scaled,dlc_count_scaled,achievements_scaled,release_year_scaled,primary_genre,total_reviews,review_score
970500,秦殇 (Prince of Qin),2022-01-10,False,0.99,False,0,北京目标在线科技有限公司,北京目标在线科技有限公司,"Action, Adventure, RPG","Single-player, Family Sharing","RPG, Action, Adventure, Action RPG, Party-Based RPG, 2D, Historical, Strategy RPG, CRPG, Drama",True,False,False,2437,1832,508,"200,000 .. 500,000",73,0,45,45,0,0,0,2022,1,350000.0,False,0.688134638736401,-0.12472481238362186,-0.3692239344438491,-0.14209042723478343,-0.3453586044247277,1.0400098198119392,Action,2340,0.7829059829059829
15700,Oddworld: Abe's Oddysee®,2008-08-28,False,2.99,False,0,Oddworld Inhabitants,Oddworld Inhabitants,Adventure,"Single-player, Steam Trading Cards, Family Sharing","Adventure, Platformer, Classic, Puzzle, 2D, Singleplayer, Cult Classic, Retro, Dark, Funny",True,False,False,2208,3716,639,"500,000 .. 1,000,000",256,222,242,7,0,0,0,2008,8,750000.0,False,1.3837912309017721,-0.12633396146636616,-0.31409183648992184,-0.14209042723478343,-0.3453586044247277,-2.1630482177874866,Adventure,4355,0.8532721010332951
396710,The Adventure Pals,2018-04-03,False,14.99,False,0,Massive Monster,Armor Games Studios,"Action, Adventure, Indie, RPG","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","Adventure, Platformer, Action, Indie, RPG, Local Co-Op, Funny, Singleplayer, Family Friendly, Colorful",True,True,False,965,1724,145,"200,000 .. 500,000",221,0,214,5,0,0,31,2018,4,350000.0,False,2.771963526845863,-0.1350683383652796,-0.32463622680897897,-0.14209042723478343,-0.10274184427572462,0.12485038049781758,Action,1869,0.922418405564473
381640,Allods Online RU,2016-01-26,False,0.0,True,0,ASTRUM LAB,ASTRUM LAB,"Action, Massively Multiplayer, RPG, Free To Play","Multi-player, MMO, Steam Trading Cards, In-App Purchases","Massively Multiplayer, MMORPG, Free to Play, Open World, RPG, Atmospheric, Multiplayer, Character Customization, CRPG, Singleplayer",True,False,False,0,1082,585,"200,000 .. 500,000",15810,0,1260,10,0,0,0,2016,1,350000.0,True,0.0,-0.14184925043885277,4.371835221299066,-0.14209042723478343,-0.3453586044247277,-0.33272933915924324,Action,1667,0.6490701859628074
18300,Spectraball,2008-10-20,False,4.99,False,0,Shorebound Studios,Shorebound Studios,"Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing","Casual, Indie, Puzzle, Platformer, 3D Platformer",True,True,True,439,379,115,"200,000 .. 500,000",135,0,203,0,0,0,14,2008,10,350000.0,False,1.7900914121273581,-0.13876446245926868,-0.35054530016437646,-0.14209042723478343,-0.23578974500259728,-2.1630482177874866,Casual,494,0.7672064777327935
1150640,Yu-Gi-Oh! Legacy of the Duelist : Link Evolution,2020-03-24,False,39.99,False,0,Other Ocean Emeryville,KONAMI,Simulation,"Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing","Simulation, Trading Card Game, Anime, Multiplayer, Card Game, Deckbuilding, Card Battler, Singleplayer, Strategy, Puzzle",True,False,False,3740,3584,777,"200,000 .. 500,000",2680,26,963,252,13,0,24,2020,3,350000.0,False,3.7133281345162463,-0.11556882437132567,0.4161825101784919,-0.14209042723478343,-0.15752627398678984,0.5824301001548784,Simulation,4361,0.8218298555377207
33130,Zombie Shooter,2009-05-27,False,4.99,False,0,Sigma Team Inc.,Sigma Team Inc.,"Action, Indie, RPG","Single-player, Family Sharing","Zombies, Shooter, Gore, Action RPG, Action, Blood, Shoot 'Em Up, Horror, RPG, Arcade",True,False,False,896,1013,206,"200,000 .. 500,000",90,0,114,4,0,0,0,2009,5,350000.0,False,1.7900914121273581,-0.1355531911456698,-0.3641023734317356,-0.14209042723478343,-0.3453586044247277,-1.934258357958956,Action,1219,0.8310090237899918
1088090,Day of Dragons,2019-12-04,False,19.99,False,0,Beawesome Games,Beawesome Games,"Indie, Massively Multiplayer, RPG, Simulation, Early Access","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Partial Controller Support","Early Access, Dragons, Survival, Multiplayer, Massively Multiplayer, Sandbox, PvE, Combat, PvP, Open World",True,False,False,6128,4827,2465,"500,000 .. 1,000,000",2188,14,618,198,0,8,0,2019,12,750000.0,False,3.0440461338325417,-0.09878870205869071,0.2679585091220317,0.19586051098756663,-0.3453586044247277,0.353640240326348,Indie,7292,0.6619583104772353
490820,Fly O'Clock,2016-07-08,False,0.99,False,0,Digital Melody,Forever Entertainment S. A.,"Action, Casual, Indie","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Remote Play Together, Family Sharing","Indie, Casual, Action, Pixel Graphics",True,True,True,355,596,89,"200,000 .. 500,000",260,0,154,1,0,0,9,2016,7,350000.0,False,0.688134638736401,-0.1393547180180046,-0.312886763310601,-0.14209042723478343,-0.274921480510501,-0.33272933915924324,Action,685,0.8700729927007299
845070,The Awesome Adventures of Captain Spirit,2018-06-25,False,0.0,True,0,DONTNOD Entertainment,Square Enix,"Adventure, Free To Play","Single-player, Full controller support, Steam Cloud, Remote Play on TV, Family Sharing","Free to Play, Story Rich, Adventure, Choices Matter, Atmospheric, Singleplayer, Great Soundtrack, Drama, Superhero, Short",True,False,False,0,13218,1036,"2,000,000 .. 5,000,000",137,0,84,16,17,0,0,2018,6,3500000.0,True,0.0,-0.14184925043885277,-0.34994276357471604,-0.14209042723478343,-0.3453586044247277,0.12485038049781758,Adventure,14254,0.9273186473972218
